,S3,S2,S1,S0,M,CN,WE,A9,A8,A,B,C,UA5-UA0,origin
0,0,0,0,0,0,0,0,no,no,000,000,P(4),10,018108
01,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,02,01ED82
02,0,0,0,0,0,0,0,RAM_B,RAM_B,LDIR,000,P(1),20,00C050
03,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,04,00A004
04,0,0,0,0,0,0,0,RAM_B,RAM_B,LDAR,000,P(2),40,00E0A0
05,0,0,0,0,0,0,0,RAM_B,RAM_B,LDAR,000,000,06,00E006
06,1,0,0,1,0,1,0,RAM_B,RAM_B,LDDR1,000,000,07,94A007
07,0,0,0,0,0,0,0,RAM_B,RAM_B,LDAR,000,P(2),40,00E0A0
10,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,12,01ED8A
11,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,14,01ED8C
12,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,16,00A00E
13,0,0,0,0,0,0,0,no,no,000,000,000,01,018001
14,0,0,0,0,0,0,0,SW_B,SW_B,LDDR1,000,000,15,00200D
15,0,0,0,0,0,1,1,no,no,000,ALU_B,000,11,078A09
16,0,0,0,0,0,1,0,LED_B,LED_B,000,ALU_B,000,10,050A08
17,0,0,0,0,0,0,1,no,no,000,RS_B,000,01,038201
20,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,12,01ED8A
21,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,14,01ED8C
22,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,60,00A030
23,0,0,0,0,0,0,0,RAM_B,RAM_B,000,000,000,01,008001
24,0,0,0,0,0,0,0,SW_B,SW_B,LDDR1,000,000,57,00202F
25,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,16,00A00E
26,0,0,0,0,0,0,0,no,no,LDDR2,RI_B,000,17,01B60F
27,1,0,0,1,0,1,0,no,no,LDAR,ALU_B,000,45,95EA25
30,0,0,1,1,0,0,0,no,no,000,RS_B,000,43,318223
31,0,0,0,0,0,0,0,RAM_B,RAM_B,LDAR,000,000,32,00E01A
32,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,33,00A01B
33,0,0,0,0,0,1,0,LED_B,LED_B,000,ALU_B,000,01,050A01
34,0,0,0,0,0,0,0,RAM_B,RAM_B,LOAD,000,LDPC,01,00D181
35,0,0,1,0,0,0,0,no,no,000,SHE_B,000,36,21881E
36,0,0,0,0,0,0,0,no,no,LDRI,SHE_B,000,01,019801
37,0,0,1,0,1,0,0,no,no,000,SHE_B,000,40,298820
40,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,03,01ED83
41,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,05,01ED85
42,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,15,01ED8D
43,0,0,0,0,0,0,0,no,no,LDAR,PC_B,LDPC,46,01EDA6
44,0,0,0,0,0,0,0,SW_B,SW_B,LDRI,000,000,01,001001
45,0,0,0,0,0,0,0,LED_B,LED_B,000,RD_B,000,01,010401
46,0,0,0,0,0,0,0,no,no,000,000,000,26,018016
47,0,0,1,1,1,1,0,no,no,LDRI,ALU_B,000,01,3D9A01
50,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
51,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
52,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
53,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
54,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
55,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
56,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
57,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
60,0,0,0,0,0,0,0,no,no,LDRI,RS_B,000,01,019201
61,0,0,0,0,0,0,0,no,no,LDDR1,RS_B,000,52,01A22A
62,0,0,0,0,0,0,0,no,no,LDDR2,RS_B,000,54,01B22C
63,0,0,0,0,0,0,0,no,no,LDDR1,RD_B,000,62,01A432
64,0,0,0,0,0,0,0,no,no,LDDR1,RS_B,000,63,01A233
65,0,0,0,0,0,0,0,no,no,LDDR1,RD_B,000,66,01A436
66,0,0,1,1,0,0,0,no,no,000,RS_B,000,67,318237
67,0,0,1,1,0,0,0,no,no,000,RS_B,000,71,318239
70,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
71,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
72,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
73,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
74,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
75,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
76,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
77,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
100,0,0,0,0,0,0,0,RAM_B,RAM_B,LDRI,000,000,01,009001
101,0,0,0,0,0,0,1,no,no,000,RD_B,000,01,038401
102,0,0,0,0,0,1,0,no,no,LOAD,ALU_B,LDPC,01,05DB81
103,0,0,0,0,0,0,0,no,no,000,000,P(3),44,0180E4
104,0,0,0,0,0,0,0,no,no,000,000,000,01,018001
105,1,0,0,1,0,1,0,no,no,LDDR1,ALU_B,P(2),40,95AAA0
106,0,0,0,0,0,0,0,RAM_B,RAM_B,LDDR1,000,000,47,00A027
107,0,0,0,0,0,0,0,no,no,LDDR2,PC_B,000,50,01BC28
110,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
111,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
112,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
113,0,0,0,0,0,0,0,SW_B,SW_B,000,000,000,00,000000
